Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost,missing_company,invalid_company,missing_product,invalid_product,missing_price,missing_date,missing_qty,missing_total_cost
2,29,19,16.0,,97930.9933803618,1428000.0,False,False,False,False,False,True,False,False
5,47,3,8.0,,99575.60963363378,705600.0,False,False,False,False,False,True,False,False
6,80,11,4.0,2021-07-12,160658.67535045007,627200.0,False,False,False,False,False,False,False,False
8,21,20,7.0,,229217.9414680993,1792000.0,False,False,False,False,False,True,False,False
10,3,20,6.0,,238293.8513034097,1120000.0,False,False,False,False,False,True,False,False
15,66,12,17.0,,79380.52059221058,1428000.0,False,False,False,False,False,True,False,False
17,27,12,16.0,,85093.63619248601,1428000.0,False,False,False,False,False,True,False,False
19,76,3,19.0,,106544.97925907635,1814400.0,False,False,False,False,False,True,False,False
24,70,1,19.0,2021-05-03,145162.09735915158,2660000.0,False,False,False,False,False,False,False,False
25,79,19,3.0,,102391.22712875452,190400.0,False,False,False,False,False,True,False,False
28,3,19,10.0,,103377.92636864162,952000.0,False,False,False,False,False,True,False,False
30,100,9,10.0,,107914.37933409296,1232000.0,False,False,False,False,False,True,False,False
38,67,2,13.0,2024-08-05,184039.0226478925,2016000.0,False,False,False,False,False,False,False,False
39,20,1,12.0,2024-05-22,148830.09486159886,1820000.0,False,False,False,False,False,False,False,False
40,50,11,19.0,,160414.89053533183,3136000.0,False,False,False,False,False,True,False,False
41,60,11,15.0,,151951.20178657523,2352000.0,False,False,False,False,False,True,False,False
43,91,6,13.0,2022-10-31,187921.9707563237,2150400.0,False,False,False,False,False,False,False,False
47,50,18,11.0,2024-03-14,141498.8995613937,1478400.0,False,False,False,False,False,False,False,False
48,92,19,9.0,,104674.10023760686,761600.0,False,False,False,False,False,True,False,False
51,27,2,19.0,,169702.40591547184,3024000.0,False,False,False,False,False,True,False,False
52,39,10,7.0,,95132.47508721208,537600.0,False,False,False,False,False,True,False,False
55,100,19,19.0,,87600.3198505344,1713600.0,False,False,False,False,False,True,False,False
,94,1,4.0,,130046.13489927052,700000.0,False,False,False,False,False,True,False,False
61,71,7,15.0,,161848.4118444253,2116800.0,False,False,False,False,False,True,False,False
62,30,2,7.0,2024-01-01,154604.60558444785,1008000.0,False,False,False,False,False,False,False,False
63,95,17,16.0,,160744.7424348349,2520000.0,False,False,False,False,False,True,False,False
65,5,2,3.0,2022-12-21,170103.4952340756,504000.0,False,False,False,False,False,False,False,False
,82,19,5.0,2024-09-19,98348.0987085968,571200.0,False,False,False,False,False,False,False,False
69,63,6,18.0,,191865.8777266378,3225600.0,False,False,False,False,False,True,False,False
72,48,15,16.0,,103000.74352604902,1612800.0,False,False,False,False,False,True,False,False
73,70,15,0.0,,103908.50984399272,100800.0,False,False,False,False,False,True,False,False
74,44,17,5.0,,156408.64993528827,840000.0,False,False,False,False,False,True,False,False
75,51,3,4.0,,102820.9381495435,504000.0,False,False,False,False,False,True,False,False
76,12,2,5.0,,175224.47114178885,1008000.0,False,False,False,False,False,True,False,False
77,17,4,9.0,2022-02-26,134913.4726420455,1232000.0,False,False,False,False,False,False,False,False
80,91,18,17.0,2021-09-10,147779.8506633818,2284800.0,False,False,False,False,False,False,False,False
81,61,15,10.0,,105434.57547931973,907200.0,False,False,False,False,False,True,False,False
,67,14,13.0,,141571.51322480384,1674400.0,False,False,False,False,False,True,False,False
87,55,15,14.0,,107263.84366479564,1411200.0,False,False,False,False,False,True,False,False
94,31,6,7.0,,190251.04821268932,1075200.0,False,False,False,False,False,True,False,False
97,57,13,20.0,,206794.28050408937,3724000.0,False,False,False,False,False,True,False,False
99,97,17,16.0,,152117.76541522297,2520000.0,False,False,False,False,False,True,False,False
102,17,15,16.0,,104998.95366752034,1713600.0,False,False,False,False,False,True,False,False
104,7,19,9.0,,96246.31394821306,952000.0,False,False,False,False,False,True,False,False
105,33,2,3.0,,162269.3023970475,504000.0,False,False,False,False,False,True,False,False
107,72,1,6.0,,152513.17409046597,980000.0,False,False,False,False,False,True,False,False
,75,3,1.0,2024-10-14,105417.36026541964,100800.0,False,False,False,False,False,False,False,False
110,59,3,1.0,,99870.2218200304,100800.0,False,False,False,False,False,True,False,False
112,38,9,18.0,,101680.82652561652,2016000.0,False,False,False,False,False,True,False,False
113,7,13,18.0,,191376.31687971856,3528000.0,False,False,False,False,False,True,False,False
115,35,20,12.0,,218875.35187667463,2464000.0,False,False,False,False,False,True,False,False
116,13,12,17.0,,82159.19111725902,1428000.0,False,False,False,False,False,True,False,False
117,61,7,9.0,2020-12-01,151139.15595824635,1512000.0,False,False,False,False,False,False,False,False
118,54,17,2.0,,176448.56319073474,336000.0,False,False,False,False,False,True,False,False
120,38,9,6.0,2024-02-06,115681.41372102968,560000.0,False,False,False,False,False,False,False,False
122,91,17,15.0,,162506.38511779875,2352000.0,False,False,False,False,False,True,False,False
123,79,6,18.0,,183310.20746730716,3404800.0,False,False,False,False,False,True,False,False
124,19,15,14.0,,92213.84453308376,1411200.0,False,False,False,False,False,True,False,False
125,29,17,12.0,2020-11-01,170160.19274658096,1848000.0,False,False,False,False,False,False,False,False
127,64,5,4.0,,75943.08246453946,252000.0,False,False,False,False,False,True,False,False
128,32,7,19.0,,144758.7228621528,2721600.0,False,False,False,False,False,True,False,False
129,90,12,2.0,,85230.17025938461,168000.0,False,False,False,False,False,True,False,False
133,98,3,9.0,,97574.64229438636,806400.0,False,False,False,False,False,True,False,False
134,51,15,3.0,2023-05-02,107741.13064878792,201600.0,False,False,False,False,False,False,False,False
135,70,1,7.0,,145919.92900093284,980000.0,False,False,False,False,False,True,False,False
138,29,6,6.0,,189940.47942726687,896000.0,False,False,False,False,False,True,False,False
141,76,2,10.0,,177689.48274149,1512000.0,False,False,False,False,False,True,False,False
142,49,13,17.0,,180318.09155612305,3528000.0,False,False,False,False,False,True,False,False
143,63,9,1.0,,104333.86047275942,224000.0,False,False,False,False,False,True,False,False
145,78,14,18.0,,136794.2284869184,2447200.0,False,False,False,False,False,True,False,False
146,82,11,0.0,,144109.21009185282,156800.0,False,False,False,False,False,True,False,False
148,84,4,18.0,,126765.33884106192,2217600.0,False,False,False,False,False,True,False,False
,80,12,21.0,,87207.89868912824,1680000.0,False,False,False,False,False,True,False,False
153,53,14,5.0,2024-08-01,118864.33997906873,772800.0,False,False,False,False,False,False,False,False
154,90,20,9.0,,207435.3057854793,2240000.0,False,False,False,False,False,True,False,False
159,95,3,6.0,,110717.10272248022,504000.0,False,False,False,False,False,True,False,False
160,55,11,4.0,2023-10-19,162599.63724409652,470400.0,False,False,False,False,False,False,False,False
,54,11,11.0,,152564.11862553252,1724800.0,False,False,False,False,False,True,False,False
163,46,15,13.0,,97515.9209799891,1209600.0,False,False,False,False,False,True,False,False
165,83,9,4.0,,115048.5553265814,336000.0,False,False,False,False,False,True,False,False
167,80,9,15.0,2024-01-10,106817.0972003646,1568000.0,False,False,False,False,False,False,False,False
168,37,14,5.0,,141345.31361595303,515200.0,False,False,False,False,False,True,False,False
170,75,2,8.0,,183736.9738765265,1344000.0,False,False,False,False,False,True,False,False
172,68,2,3.0,,157598.6137305079,504000.0,False,False,False,False,False,True,False,False
173,39,4,10.0,,119667.61697314044,1355200.0,False,False,False,False,False,True,False,False
175,16,17,3.0,,172265.80331910335,672000.0,False,False,False,False,False,True,False,False
,90,1,6.0,2023-12-28,136282.2195380804,980000.0,False,False,False,False,False,False,False,False
178,37,4,14.0,,133726.74223977342,1724800.0,False,False,False,False,False,True,False,False
183,26,11,3.0,2022-10-10,154776.31624967942,627200.0,False,False,False,False,False,False,False,False
185,60,3,15.0,,106410.57177554056,1512000.0,False,False,False,False,False,True,False,False
187,67,17,14.0,,162040.2319544383,2184000.0,False,False,False,False,False,True,False,False
