Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost,missing_company,invalid_company,missing_product,invalid_product,missing_price,missing_date,missing_qty,missing_total_cost
1,88,6,,2024-03-26,194379.14796406127,1075200.0,False,False,False,False,False,False,True,False
4,85,12,12.0,,,1008000.0,False,False,False,False,True,True,False,False
9,96,1,14.0,,144758.78325409137,,False,False,False,False,False,True,False,True
16,43,7,1.0,,,302400.0,False,False,False,False,True,True,False,False
,57,10,6.0,2022-07-10,,627200.0,False,False,False,False,True,False,False,False
21,88,13,,2024-09-08,210759.80144895677,392000.0,False,False,False,False,False,False,True,False
,25,18,2.0,,123745.15804172322,,False,False,False,False,False,True,False,True
23,46,17,,,160605.71063159578,1176000.0,False,False,False,False,False,True,True,False
,93,9,,,,1792000.0,False,False,False,False,True,True,True,False
29,24,11,5.0,,142284.83462551606,,False,False,False,False,False,True,False,True
32,23,7,,,158091.28746141505,151200.0,False,False,False,False,False,True,True,False
35,49,19,6.0,,,476000.0,False,False,False,False,True,True,False,False
36,71,20,3.0,2022-05-19,,896000.0,False,False,False,False,True,False,False,False
44,87,13,11.0,,,1960000.0,False,False,False,False,True,True,False,False
46,78,6,3.0,,177269.01074136738,,False,False,False,False,False,True,False,True
49,60,9,6.0,,113616.11203696496,,False,False,False,False,False,True,False,True
54,19,10,10.0,2023-08-24,,896000.0,False,False,False,False,True,False,False,False
57,76,1,3.0,,141752.79292926408,,False,False,False,False,False,True,False,True
59,54,1,,,140359.08343324802,,False,False,False,False,False,True,True,True
67,73,11,,,166372.26047601845,784000.0,False,False,False,False,False,True,True,False
71,48,13,18.0,,,3332000.0,False,False,False,False,True,True,False,False
78,85,14,,2021-11-13,131147.88913465323,515200.0,False,False,False,False,False,False,True,False
79,66,4,,2023-09-14,112998.05991834083,,False,False,False,False,False,False,True,True
82,73,9,,,118755.57154855313,1792000.0,False,False,False,False,False,True,True,False
88,49,4,5.0,2022-11-07,,492800.0,False,False,False,False,True,False,False,False
89,90,9,3.0,,,448000.0,False,False,False,False,True,True,False,False
106,86,11,,,163097.19389081703,2822400.0,False,False,False,False,False,True,True,False
114,51,10,,,84500.05283143194,985600.0,False,False,False,False,False,True,True,False
149,62,12,18.0,2021-10-30,85902.82884460222,,False,False,False,False,False,False,False,True
151,71,17,9.0,,170989.53366674672,,False,False,False,False,False,True,False,True
155,85,15,,,95524.8564335152,1209600.0,False,False,False,False,False,True,True,False
,17,2,,2024-09-08,154201.4338246184,3360000.0,False,False,False,False,False,False,True,False
157,7,15,5.0,,103765.03389864958,,False,False,False,False,False,True,False,True
158,86,19,,,100538.626152184,761600.0,False,False,False,False,False,True,True,False
186,91,2,,,169460.61277494184,840000.0,False,False,False,False,False,True,True,False
191,92,14,,,134999.09801710743,1932000.0,False,False,False,False,False,True,True,False
193,91,3,21.0,,,2016000.0,False,False,False,False,True,True,False,False
194,80,2,,,176375.1494932288,336000.0,False,False,False,False,False,True,True,False
