Unnamed: 0,Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price,Total_Cost,missing_company,invalid_company,missing_product,invalid_product,missing_price,missing_date,missing_qty,missing_total_cost
1.0,2.0,29.0,19.0,16.0,"July 09, 2024",97930.9933803618,1428000.0,False,False,False,False,False,False,False,False
4.0,5.0,47.0,3.0,8.0,07/06/2021,99575.60963363378,705600.0,False,False,False,False,False,False,False,False
5.0,6.0,80.0,11.0,4.0,2021/07/12,160658.67535045007,627200.0,False,False,False,False,False,False,False,False
7.0,8.0,21.0,20.0,7.0,"October 31, 2023",229217.9414680993,1792000.0,False,False,False,False,False,False,False,False
9.0,10.0,3.0,20.0,6.0,29-03-2021,238293.8513034097,1120000.0,False,False,False,False,False,False,False,False
14.0,15.0,66.0,12.0,17.0,22-03-2023,79380.52059221058,1428000.0,False,False,False,False,False,False,False,False
16.0,17.0,27.0,12.0,16.0,09/27/2022,85093.63619248601,1428000.0,False,False,False,False,False,False,False,False
18.0,19.0,76.0,3.0,19.0,"August 04, 2022",106544.97925907635,1814400.0,False,False,False,False,False,False,False,False
23.0,24.0,70.0,1.0,19.0,2021/05/03,145162.09735915158,2660000.0,False,False,False,False,False,False,False,False
24.0,25.0,79.0,19.0,3.0,03/24/2023,102391.22712875452,190400.0,False,False,False,False,False,False,False,False
,28.0,3.0,19.0,10.0,28-06-2023,103377.92636864162,952000.0,False,False,False,False,False,False,False,False
29.0,30.0,100.0,9.0,10.0,"April 20, 2023",107914.37933409296,1232000.0,False,False,False,False,False,False,False,False
37.0,38.0,67.0,2.0,13.0,2024/08/05,184039.0226478925,2016000.0,False,False,False,False,False,False,False,False
38.0,39.0,20.0,1.0,12.0,2024/05/22,148830.09486159886,1820000.0,False,False,False,False,False,False,False,False
39.0,40.0,50.0,11.0,19.0,23-08-2023,160414.89053533183,3136000.0,False,False,False,False,False,False,False,False
40.0,41.0,60.0,11.0,15.0,18-09-2023,151951.20178657523,2352000.0,False,False,False,False,False,False,False,False
42.0,43.0,91.0,6.0,13.0,2022/10/31,187921.9707563237,2150400.0,False,False,False,False,False,False,False,False
,47.0,50.0,18.0,11.0,2024/03/14,141498.8995613937,1478400.0,False,False,False,False,False,False,False,False
